Hallo!,Hello!
Guten Morgen!,Good morning!
Guten Tag!,Good day!
Guten Abend!,Good evening!
Gute Nacht!,Good night!
Wie geht's?,How are you?
Mir geht's gut.,I’m fine.
Und dir?,And you?
Danke!,Thank you!
Bitte!,You’re welcome!
Entschuldigung!,Excuse me!
Es tut mir leid.,I’m sorry.
Ja.,Yes.
Nein.,No.
Vielleicht.,Maybe.
Ich weiß nicht.,I don’t know.
Ich verstehe.,I understand.
Ich verstehe nicht.,I don’t understand.
Können Sie das wiederholen?,Can you repeat that?
Sprechen Sie Englisch?,Do you speak English?
Wie heißt du?,What’s your name?
Ich heiße…,My name is…
Woher kommst du?,Where are you from?
Ich komme aus…,I am from…
Wie alt bist du?,How old are you?
Ich bin [Jahre alt].,I am [years old].
Schön, dich kennenzulernen!,Nice to meet you!
Ich möchte…,I would like…
Kann ich bitte… haben?,Can I please have…?
Ich habe Hunger.,I’m hungry.
Ich habe Durst.,I’m thirsty.
Was kostet das?,How much does it cost?
Wo ist die Toilette?,Where is the bathroom?
Ich brauche Hilfe.,I need help.
Das ist lecker!,That’s delicious!
Ich bin müde.,I’m tired.
Ich gehe schlafen.,I’m going to sleep.
Auf Wiedersehen!,Goodbye!
Bis bald!,See you soon!
Ich liebe dich.,I love you.
Was machst du?,What are you doing?
Wie spät ist es?,What time is it?
Wo wohnst du?,Where do you live?
Hast du Geschwister?,Do you have siblings?
Was arbeitest du?,What do you do for a living?
Kannst du mir helfen?,Can you help me?
Was ist los?,What’s going on?
Wie viel Uhr ist es?,What time is it?
Wann?,When?
Warum?,Why?
Wer?,Who?
Wie?,How?
Wo?,Where?
Was?,What?
Wohin gehst du?,Where are you going?
Wie lange dauert das?,How long does it take?
Gerne!,Gladly!
Kein Problem!,No problem!
Das ist in Ordnung.,That’s okay.
Macht nichts.,It doesn’t matter.
Alles Gute!,All the best!
Herzlichen Glückwunsch!,Congratulations!
Viel Glück!,Good luck!
Gute Besserung!,Get well soon!
Frohe Weihnachten!,Merry Christmas!
Frohes neues Jahr!,Happy New Year!
Alles klar?,Everything okay?
Viel Spaß!,Have fun!
Schöne Reise!,Have a good trip!
Pass auf dich auf!,Take care of yourself!
Gehen Sie geradeaus.,Go straight ahead.
Biegen Sie links ab.,Turn left.
Biegen Sie rechts ab.,Turn right.
An der Ecke.,At the corner.
Fahren Sie geradeaus.,Drive straight ahead.
Welche Richtung?,Which direction?
Wie komme ich zum Bahnhof?,How do I get to the train station?
Ist es weit?,Is it far?
Ich habe mich verlaufen.,I’m lost.
Wo ist der Ausgang?,Where is the exit?
Können Sie mir den Weg zeigen?,Can you show me the way?
Gibt es in der Nähe ein Hotel?,Is there a hotel nearby?
Ich möchte ein Taxi bestellen.,I’d like to order a taxi.
Wie viel kostet die Fahrt?,How much is the fare?
Haben Sie eine Speisekarte?,Do you have a menu?
Was empfehlen Sie?,What do you recommend?
Ich hätte gerne…,I would like to have…
Ich bin allergisch gegen…,I’m allergic to…
Die Rechnung, bitte.,The bill, please.
Können wir getrennt bezahlen?,Can we pay separately?
Kann ich mit Karte bezahlen?,Can I pay by card?
Ich suche…,I’m looking for…
Haben Sie…?,Do you have…?
Wie viel kostet das?,How much does it cost?
Das ist zu teuer.,That’s too expensive.
Haben Sie etwas Günstigeres?,Do you have something cheaper?
Könnte ich bitte eine Tüte haben?,Could I have a bag, please?
Das gefällt mir.,I like that.
Haben Sie das in einer anderen Farbe?,Do you have this in another color?
Könnte ich es anprobieren?,Could I try it on?
Hilfe!,Help!
Rufen Sie die Polizei!,Call the police!
Ich habe einen Unfall gehabt.,I’ve had an accident.
Ich brauche einen Arzt.,I need a doctor.
Wo ist das nächste Krankenhaus?,Where is the nearest hospital?
Ich habe meine Brieftasche verloren.,I’ve lost my wallet.
Meine Tasche wurde gestohlen.,My bag was stolen.
Ich fühle mich nicht gut.,I don’t feel well.
Können Sie mir einen Krankenwagen rufen?,Can you call me an ambulance?
Ich habe mich verletzt.,I’ve hurt myself.
Es brennt!,There’s a fire!
Ich brauche sofortige Hilfe!,I need immediate help!
Was gibt's Neues?,What’s new?
Ich freue mich darauf.,I’m looking forward to it.
Ich bin beschäftigt.,I’m busy.
Ich habe keine Zeit.,I don’t have time.
Das macht Spaß!,That’s fun!
Das ist eine gute Idee.,That’s a good idea.
Ich bin mir nicht sicher.,I’m not sure.
Das ist mir egal.,I don’t care.
Ich habe genug.,I’ve had enough.
Ich stimme zu.,I agree.
Ich stimme nicht zu.,I don’t agree.
Das klingt gut.,That sounds good.
Wie war dein Tag?,How was your day?
Ich gehe zur Arbeit.,I’m going to work.
Ich bin arbeitslos.,I’m unemployed.
Ich habe einen neuen Job.,I have a new job.
Ich studiere.,I’m studying.
Was studierst du?,What are you studying?
Ich mache ein Praktikum.,I’m doing an internship.
Ich habe eine Besprechung.,I have a meeting.
Ich bin zu spät.,I’m late.
Ich muss los.,I have to go.
Ich arbeite von zu Hause.,I’m working from home.
Ich mache Überstunden.,I’m working overtime.
Ich habe Feierabend.,I’m off work.
Ich habe Urlaub.,I’m on vacation.
Wann ist die Abgabefrist?,When is the deadline?
Wie ist das Wetter?,How’s the weather?
Es ist sonnig.,It’s sunny.
Es regnet.,It’s raining.
Es ist windig.,It’s windy.
Es ist bewölkt.,It’s cloudy.
Es schneit.,It’s snowing.
Es ist kalt.,It’s cold.
Es ist heiß.,It’s hot.
Es ist warm.,It’s warm.
Es ist kühl.,It’s cool.
Das Wetter ist schön.,The weather is nice.
Das Wetter ist schlecht.,The weather is bad.
Wie wird das Wetter morgen?,What will the weather be like tomorrow?
Es wird regnen.,It’s going to rain.
Es wird sonnig sein.,It will be sunny.
Hast du den Wetterbericht gehört?,Did you hear the weather report?
Heute.,Today.
Gestern.,Yesterday.
Morgen.,Tomorrow.
Übermorgen.,The day after tomorrow.
Diese Woche.,This week.
Letzte Woche.,Last week.
Nächste Woche.,Next week.
Jetzt.,Now.
Später.,Later.
Früh.,Early.
Spät.,Late.
Wann?,When?
Um wie viel Uhr?,At what time?
Welcher Tag ist heute?,What day is today?
Welches Datum haben wir?,What is the date today?
Es ist Zeit.,It’s time.
Ich habe keine Uhr.,I don’t have a watch.
Die Uhr geht falsch.,The clock is wrong.
Meine Familie.,My family.
Meine Eltern.,My parents.
Meine Geschwister.,My siblings.
Mein Bruder.,My brother.
Meine Schwester.,My sister.
Mein Vater.,My father.
Meine Mutter.,My mother.
Mein Freund.,My boyfriend.
Meine Freundin.,My girlfriend.
Mein Ehemann.,My husband.
Meine Ehefrau.,My wife.
Mein Sohn.,My son.
Meine Tochter.,My daughter.
Meine Großeltern.,My grandparents.
Mein Großvater.,My grandfather.
Meine Großmutter.,My grandmother.
Ich bin verheiratet.,I’m married.
Ich bin ledig.,I’m single.
Ich habe Kinder.,I have children.
Ich habe keine Kinder.,I don’t have children.
Was machst du in deiner Freizeit?,What do you do in your free time?
Ich lese gerne.,I like reading.
Ich gehe gerne ins Kino.,I like going to the movies.
Ich treibe Sport.,I play sports.
Ich spiele Fußball.,I play soccer.
Ich gehe schwimmen.,I go swimming.
